Index,Element,Density,a,b,c,d,e,f,g,h,,Note: ,These coefficients represent those for a 4-term exponential
83,Lanthanum,4.00E+00,0.179130962,0.918824954,0.177806646,0.234891958,0.26267707,0.084761147,0.380385322,0.020154382,,,
84,Cerium,4.00E+00,0.10841527,1.744384637,0.237248846,0.321314533,0.276265909,0.08437447,0.378069975,0.020326996,,,
85,Neodymium,4.00E+00,0.057931793,2.468352991,0.244797972,0.439880554,0.30888711,0.095116548,0.388383125,0.020727049,,,
86,Praseodymium,4.00E+00,0.128021879,1.848653212,0.228610366,0.308863495,0.262928381,0.086047729,0.380439374,0.020702207,,,
87,Lutetium,4.00E+00,0.197111896,0.719169869,0.09315671,0.237142199,0.30293639,0.094581411,0.406795004,0.020879303,,,
88,Lithium,4.00E+00,0.226086112,1.411957276,0.21923525,0.223406213,0.240034936,0.061650025,0.314643702,0.012181567,,,
89,Radium,4.00E+00,0.147476656,0.657664829,0.123578576,0.345850677,0.315254971,0.090138608,0.413689797,0.021083293,,,
90,Barium,4.00E+00,0.129425675,1.218649832,0.204574804,0.336349754,0.290154261,0.086095616,0.37584526,0.019975505,,,
91,Actinium,4.00E+00,0.184076659,0.686577629,0.125627626,0.221367432,0.275960069,0.086596432,0.414335646,0.021326457,,,
92,Sodium,4.00E+00,0.212707059,1.314448932,0.214453542,0.277908346,0.252154171,0.073811374,0.320685228,0.01607409,,,
93,Potassium,4.00E+00,0.231153541,1.487683485,0.223131411,0.256502829,0.230142341,0.076091326,0.315572707,0.01850561,,,
94,Rubidium,4.00E+00,0.072861382,6.421556167,0.2801266,0.549244078,0.307876112,0.093238233,0.339135906,0.019202827,,,
95,Francium,4.00E+00,0.028472107,5.711099483,0.22959881,0.446628358,0.323045233,0.091980086,0.41888385,0.021103565,,,
96,Cesium,4.00E+00,0.168127396,1.137857859,0.176534349,0.314774933,0.287076871,0.089487206,0.368261384,0.020075449,,,
